Ad ID,Car Name,Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location,Car Features
1079071571,fresh import Passo 2021model,Toyota,Passo,2021,54000,4190000,Petrol,Unregistered,Original,Imported,Automatic,Used,"Airline Avenue, Islamabad","ABS, Air Bags, AM/FM Radio, CD Player, Cassette Player, Climate Control, DVD Player, Front Speakers, Front Camera, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera"
1080125520,Suzuki ravi,Suzuki,Ravi,2018,95000,1300000,Petrol,Karachi,Original,Local,Manual,Used,"Kahuta, Rawalpindi",AM/FM Radio
1080748789,Suzuki bolan 2015 contact 03112271054,Suzuki,Bolan,2015,50000,800000,Petrol,Karachi,Original,Local,Manual,Used,"Lyari Expressway, Karachi",Rear speakers
1076081635,Diahatsu Move 2013,Daihatsu,Move,2013,94000,2155000,Petrol,Lahore,Original,Imported,Automatic,Used,"New Amir Town, Lahore","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows"
1080812928,Suzuki Swift DLX 2011 miner tuchap,Suzuki,Swift,2011,126544,1440000,Petrol,Karachi,Original,Local,Manual,Used,"Shadman 2, Karachi","ABS, Air Conditioning, Alloy Rims, AM/FM Radio, Power Locks, Power Mirrors, Power Steering, Power Windows"
1079496823,WagonR AGS total genuine,Suzuki,Wagon R,2020,54000,2830000,Petrol,Lahore,Original,Local,Automatic,Used,"Abbot Road, Sialkot","ABS, Air Bags, Alloy Rims, AM/FM Radio, CD Player, DVD Player, Power Mirrors, Power Steering, Power Windows, Rear AC Vents, USB and Auxillary Cable"
1080333426,Daihatsu Mira,Daihatsu,Mira,2013,140000,2150000,Petrol,Karachi,Original,Imported,Automatic,Used,"North Nazimabad - Block A, Karachi","ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, Front Speakers, Power Locks, Power Steering, Power Windows, USB and Auxillary Cable"
1080784758,Suzuki Bolan 2016 genuine condition low mileage,Suzuki,Bolan,2016,32000,1050000,Petrol,Karachi,Original,Local,Manual,Used,"Korangi Industrial Area, Karachi","Alloy Rims, AM/FM Radio"
1076448625,2004 Honda City,Honda,City IDSI,2004,160000,1230000,Petrol,Sindh,Original,Local,Manual,Used,"Allama Iqbal Town - Huma Block, Lahore","ABS, Air Conditioning, Alloy Rims, CD Player, DVD Player, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Steering, Power Windows, Rear Camera, Steering Switches"
1080820574,car Bashir s 80 janwan Hain 03218823600,Suzuki,Cultus VXR,2008,75000,950000,Petrol,Faisalabad,Original,Local,Manual,Used,"Al Najaf Colony, Faisalabad","Air Conditioning, AM/FM Radio, CD Player, Cool Box, Climate Control, DVD Player, Power Locks, USB and Auxillary Cable"
1080792524,Suzuki Every,Suzuki,Every,2018,101628,1850000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Saddar, Rawalpindi","Air Bags, Air Conditioning, AM/FM Radio, Front Speakers, Front Camera, Power Locks, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
1080676810,I am selling Xli 2007,Toyota,Corolla XLI,2007,346000,1895000,Petrol,Lahore,Original,Local,Manual,Used,"New Northern Bypass, Chakwal","Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, USB and Auxillary Cable"
1080652486,SUZUKI BALENO SPORTS 1.3 MANUAL,Suzuki,Baleno,2004,140000,930000,Petrol,Karachi,Original,Imported,Manual,Used,"Ali Town, Mirpur Khas","ABS, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Heated Seats, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
1080261255,Honda city family car 2006 white color,Honda,City Vario,2006,80000,1670000,Petrol,Karachi,Original,Imported,Automatic,Used,"Zaman Villas, Bahawalpur","Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Power Locks, Power Steering, Power Windows"
1080112850,Daihatau Move 2021,Daihatsu,Move,2021,6500,3499000,Petrol,Unregistered,Original,Imported,Automatic,Used,"Kot Abdul Malik, Sheikhüpura","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cassette Player, Cool Box, Climate Control, DVD Player, Front Speakers, Front Camera, Immobilizer Key, Power Locks, Power Steering, Power Windows, Rear AC Vents, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
1078594006,terios kid,Daihatsu,Terios Kid,2004,123123,1425000,Petrol,Sialkot,Original,Imported,Automatic,Used,"Raiwind Bypass, Raiwind","Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Cassette Player, Front Speakers, Power Locks, Power Mirrors, Power Windows, USB and Auxillary Cable"
1080231541,Move custom full option 2013/2017,Daihatsu,Move,2013,73000,2150000,Petrol,Lahore,Original,Imported,Automatic,Used,"DHA Phase 1, Lahore","ABS, Air Bags, Air Conditioning, Climate Control, DVD Player, Front Speakers, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
